Document Title,Year,Abstract,PDF Link,label
MALICIOUS_CODE,MS_MUTABLE_COLLECTION_PKGPROTECT,org/apache/cassandra/AbstractSerializationsTester.java,,yes
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,org/apache/cassandra/AbstractSerializationsTester.java,getOutput,yes
MALICIOUS_CODE,MS_PKGPROTECT,org/apache/cassandra/EmbeddedServer.java,,yes
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/cassandra/EmbeddedServer.java,run,yes
I18N,DM_DEFAULT_ENCODING,org/apache/cassandra/MethodComparator.java,getIndexOfMethodPosition,yes
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,org/apache/cassandra/MethodComparator.java,,yes
BAD_PRACTICE,EQ_COMPARETO_USE_OBJECT_EQUALS,org/apache/cassandra/MethodComparator.java,compareTo,yes
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,org/apache/cassandra/OffsetAwareConfigurationLoader.java,<init>,yes
STYLE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,org/apache/cassandra/SchemaLoader.java,cleanupSavedCaches,yes
STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,org/apache/cassandra/Util.java,getColumnFamily,yes
BAD_PRACTICE,NM_CONFUSING,org/apache/cassandra/auth/AllowAllAuthenticator.java,setup,yes
STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,org/apache/cassandra/auth/AllowAllAuthenticator.java,evaluateResponse,yes
STYLE,REC_CATCH_EXCEPTION,org/apache/cassandra/auth/Auth.java,setupTable,yes
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/cassandra/auth/Auth.java,invalidatePermissionsCache,yes
STYLE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/apache/cassandra/auth/Auth.java,setPermissionsValidity,yes
STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,org/apache/cassandra/auth/PasswordAuthenticator.java,evaluateResponse,yes
BAD_PRACTICE,NM_CONFUSING,org/apache/cassandra/batchlog/BatchlogManager.java,shutdown,yes
STYLE,REC_CATCH_EXCEPTION,org/apache/cassandra/cache/AutoSavingCache.java,loadSaved,yes
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,org/apache/cassandra/cache/AutoSavingCache.java,saveCache,yes
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,org/apache/cassandra/cache/CacheProviderTest.java,,yes
I18N,DM_CONVERT_CASE,org/apache/cassandra/cache/CachingOptions.java,fromString,yes
